岗位标题,岗位描述,地区,公司规模,学历要求,薪资下限,薪资上限
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉算法、数据结构、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,大专,8852,16174
运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Linux、K8s、运维等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,硕士,11795,20581
架构师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉微服务、系统架构、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,博士,15776,25078
数据科学家,构建机器学习模型，解决实际业务问题。要求熟悉机器学习、Python、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,本科,39702,70302
数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉Python、Excel、Tableau等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,博士,12414,21716
机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、特征工程、模型调优等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,大专,9196,14766
Python开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、Django、FastAPI等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,大专,7550,13202
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉客户关系、商务谈判、销售等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,本科,9496,17096
人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉培训、绩效考核、招聘等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,硕士,8681,13764
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉项目管理、风险控制、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,博士,23716,42516
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉Axure、需求分析、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,大专,14013,22173
全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉MySQL、JavaScript、MongoDB等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,博士,12061,20090
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉预算编制、财务报表、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,博士,15478,25270
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉深度学习、PyTorch、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,大专,18734,27950
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉客户沟通、技术支持、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,大专,7130,12782
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉问题排查、文档编写、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,大专,12093,20080
机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Python、特征工程、模型调优等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,本科,11906,20226
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉Axure、数据分析、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,本科,19662,31806
测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉性能测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,博士,19597,31347
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉需求分析、用户研究、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,硕士,12452,21469
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉交互设计、UI设计、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,硕士,11000,18425
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉招聘、培训、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,硕士,6684,10883
Java后端开发,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Redis、Dubbo、SpringBoot等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,博士,13657,24601
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉员工关系、招聘、培训等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,本科,8409,12829
算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉数据结构、Python、算法等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,硕士,14170,24287
Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉FastAPI、MySQL、Flask等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,硕士,8315,14680
算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉深度学习、数据结构、Python等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,博士,13112,22415
机器学习工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉模型调优、特征工程、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,硕士,14343,27123
市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉活动策划、品牌建设、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,成都,50-150人,本科,9790,17998
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉需求分析、Axure、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,大专,8878,14427
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉招聘、绩效考核、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,大专,5781,10005
UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉交互设计、UI设计、Figma等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,博士,15621,26633
Python开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Redis、Flask、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,大专,10637,17846
市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉渠道拓展、品牌建设、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,大专,12144,19747
人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉绩效考核、员工关系、招聘等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,博士,14971,24079
Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Python、Flask、FastAPI等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,大专,7476,12263
算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉深度学习、算法、Python等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,本科,8385,15185
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉SpringBoot、Java、Dubbo等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,大专,5547,10552
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉品牌建设、市场营销、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,博士,30227,48474
全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉MySQL、JavaScript、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,本科,10515,18515
运维工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Docker、监控、K8s等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,博士,20193,35400
测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉测试、自动化测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,硕士,12633,20412
机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、模型调优、特征工程等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,大专,5665,9495
机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、机器学习、模型调优等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,本科,8431,14203
项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉风险控制、团队协调、项目管理等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,硕士,25337,39564
运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉K8s、监控、Docker等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,本科,9761,17544
运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Docker、K8s、运维等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,本科,11995,19739
运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉运营、数据分析、用户增长等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,本科,5000,7855
算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉算法、机器学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,本科,13044,22196
运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉监控、运维、Linux等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,硕士,11336,18158
财务分析师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Excel、财务分析、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,博士,21652,33690
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉用户研究、数据分析、产品设计等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,大专,8671,14546
运营专员,分析运营数据，优化运营策略和流程。要求熟悉数据分析、用户增长、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,本科,8298,13138
运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉运维、Linux、监控等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,大专,5000,8532
Java后端开发,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Java、Redis、Dubbo等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,硕士,15804,28783
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉用户研究、产品设计、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,博士,26894,49704
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉Axure、数据分析、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,本科,7525,15003
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉文档编写、客户沟通、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,大专,8811,13815
算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉数据结构、Python、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,大专,7476,13876
数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉SQL、Excel、Tableau等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,博士,27001,43475
前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉HTML、JavaScript、TypeScript等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,硕士,11696,20536
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉深度学习、Python、算法等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,大专,5112,8681
运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉运维、Docker、K8s等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,本科,4412,7300
市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉渠道拓展、活动策划、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,硕士,17294,28551
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉Axure、数据分析、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,大专,3849,6890
技术支持工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉问题排查、文档编写、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,硕士,7791,13591
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉统计学、Tableau、Excel等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,大专,8866,13935
机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、机器学习、特征工程等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,本科,6359,11146
运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉K8s、监控、Linux等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,硕士,17434,27834
运营专员,分析运营数据，优化运营策略和流程。要求熟悉运营、活动策划、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,硕士,7770,12632
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉风险控制、团队协调、项目管理等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,大专,10456,17368
UI设计师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Sketch、用户体验、Figma等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,硕士,9875,15408
前端开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉React、Vue、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,博士,17961,29222
Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉SpringBoot、Java、Redis等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,大专,5915,10113
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉数据分析、需求分析、产品设计等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,硕士,17656,33256
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉产品设计、Axure、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,博士,29752,50272
Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉MySQL、Dubbo、Java等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,本科,6575,11823
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉数据分析、用户研究、Axure等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,硕士,21973,39196
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉品牌建设、活动策划、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,本科,12459,20849
运营专员,分析运营数据，优化运营策略和流程。要求熟悉用户增长、数据分析、运营等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,硕士,8883,13966
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉绩效考核、员工关系、培训等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,本科,5000,7237
UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉用户体验、交互设计、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,博士,17054,27034
架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉性能优化、系统架构、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,大专,12404,19725
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Tableau、Excel、统计学等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,硕士,15983,25169
Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Python、Redis、Flask等相关技术，具备良好的沟通能力和团队协作精神。,西安,1000人以上,博士,21116,32451
全栈开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉MongoDB、MySQL、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,大专,8189,13719
市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉品牌建设、渠道拓展、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,大专,8867,17353
架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉技术选型、微服务、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,本科,9393,15588
Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Python、Redis、Django等相关技术，具备良好的沟通能力和团队协作精神。,西安,1000人以上,本科,9109,15406
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉问题排查、技术支持、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,大专,12715,20579
Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Python、Flask、FastAPI等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,博士,18072,30110
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉测试、自动化测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,硕士,13328,23208
Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉MySQL、Redis、Django等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,本科,8705,16305
测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉缺陷管理、自动化测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,硕士,9113,15935
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉员工关系、招聘、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,博士,6918,12120
运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉数据分析、运营、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,博士,6944,11963
Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉SpringBoot、Java、Spring等相关技术，具备良好的沟通能力和团队协作精神。,成都,50-150人,博士,14630,24479
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉业绩目标、商务谈判、销售等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,本科,12316,19612
数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉PyTorch、深度学习、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,硕士,19746,31602
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Tableau、统计学、Excel等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,博士,18890,32138
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉客户沟通、文档编写、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,硕士,9221,15544
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉项目管理、团队协调、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,大专,12430,20202
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、数据结构、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,博士,15800,28334
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉算法、深度学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,博士,18909,32917
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉Axure、产品设计、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,大专,11512,19868
市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉品牌建设、市场营销、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,博士,29873,54203
测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉自动化测试、缺陷管理、测试等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,本科,7853,13101
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉JavaScript、React、CSS等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,大专,5414,9418
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉客户关系、商务谈判、业绩目标等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,大专,7591,12814
机器学习工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉特征工程、模型调优、Python等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,博士,18378,33584
前端开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉HTML、JavaScript、React等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,博士,13435,23826
运维工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Linux、运维、Docker等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,大专,7559,12564
架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉性能优化、技术选型、微服务等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,本科,6389,11285
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉HTML、CSS、Vue等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,大专,10872,17272
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉绩效考核、员工关系、招聘等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,大专,5000,7000
Java后端开发,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉SpringBoot、Java、Spring等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,硕士,11672,19909
机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉模型调优、Python、特征工程等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,大专,7538,12402
销售代表,分析市场趋势和竞争对手，制定市场策略。要求熟悉业绩目标、销售、客户关系等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,大专,7995,15204
Java后端开发,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Dubbo、SpringBoot、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,博士,13095,25629
测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉测试、缺陷管理、自动化测试等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,大专,6091,11684
Python开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉FastAPI、Django、Redis等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,大专,8623,13973
财务分析师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉财务分析、Excel、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,大专,7239,11860
销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉客户关系、销售、商务谈判等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,博士,23502,36174
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉项目管理、团队协调、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,博士,27085,48426
Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Spring、SpringBoot、Java等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,本科,9815,16778
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉品牌建设、渠道拓展、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,本科,17253,27621
测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉性能测试、缺陷管理、测试等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,大专,6096,9578
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉性能测试、自动化测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,本科,9920,15552
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉算法、Python、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,硕士,12658,20562
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉问题排查、客户沟通、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,大专,6578,10777
运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉数据分析、用户增长、运营等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,本科,6836,11060
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Java、MySQL、Dubbo等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,博士,21200,35139
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉产品设计、数据分析、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,博士,30324,54170
技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉文档编写、问题排查、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,大专,5847,10635
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉深度学习、算法、Python等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,本科,10643,18387
运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉数据分析、活动策划、运营等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,硕士,11891,20003
Python开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Redis、Python、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,博士,16049,28491
架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉性能优化、系统架构、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,博士,14742,24534
UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Sketch、交互设计、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,本科,8649,13331
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉算法、Python、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,硕士,10999,18903
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉Axure、数据分析、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,大专,10150,16294
数据科学家,构建机器学习模型，解决实际业务问题。要求熟悉Python、TensorFlow、PyTorch等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,大专,11650,20309
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉销售、商务谈判、业绩目标等相关技术，具备良好的沟通能力和团队协作精神。,西安,1000人以上,本科,8430,14728
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉用户研究、需求分析、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,硕士,17092,30870
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉需求分析、数据分析、Axure等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,本科,12447,24591
Java后端开发,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Dubbo、Redis、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,大专,6508,11295
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉团队协调、进度控制、项目管理等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,本科,9930,17274
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉销售、业绩目标、客户关系等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,本科,8572,13740
全栈开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Node.js、MongoDB、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,本科,7717,12885
财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉财务分析、预算编制、Excel等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,硕士,17143,28858
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉市场营销、活动策划、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,博士,75906,119970
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Redis、Spring、SpringBoot等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,大专,8971,14565
运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉K8s、运维、Docker等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,硕士,13039,21825
