发布日期,岗位标题,岗位描述,地区,公司规模,学历要求,薪资下限,薪资上限
2022-09-05,人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉培训、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,博士,10570,19186
2022-09-05,数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Tableau、SQL、统计学等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,本科,11176,18300
2022-09-05,架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉性能优化、技术选型、微服务等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,硕士,12201,19851
2022-09-06,财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉财务报表、Excel、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,本科,9485,14571
2022-09-06,算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉机器学习、Python、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,本科,9195,15882
2022-09-06,Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Python、FastAPI、Flask等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,硕士,10232,18788
2022-09-06,运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉K8s、Docker、运维等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,博士,19955,32778
2022-09-06,架构师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉微服务、系统架构、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,本科,9284,16718
2022-09-06,销售代表,分析市场趋势和竞争对手，制定市场策略。要求熟悉销售、业绩目标、商务谈判等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,硕士,14126,25839
2022-09-07,机器学习工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉特征工程、Python、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,深圳,1000人以上,博士,23719,42725
2022-09-07,UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉用户体验、交互设计、Figma等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,大专,12525,19571
2022-09-07,人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉招聘、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,硕士,11104,18339
2022-09-08,全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉MongoDB、Node.js、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,本科,7290,13485
2022-09-09,测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉自动化测试、缺陷管理、测试等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,本科,8456,15337
2022-09-10,市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉活动策划、市场营销、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,本科,10021,18099
2022-09-10,数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉SQL、统计学、Tableau等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,博士,21326,34250
2022-09-11,数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉PyTorch、机器学习、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,本科,21933,36452
2022-09-12,架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉技术选型、性能优化、系统架构等相关技术，具备良好的沟通能力和团队协作精神。,苏州,150-500人,硕士,12251,20670
2022-09-12,UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉交互设计、UI设计、Figma等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,本科,8961,14812
2022-09-13,运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉运维、监控、Linux等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,博士,18168,33215
2022-09-14,运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉数据分析、运营、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,博士,9973,16594
2022-09-14,全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Node.js、MySQL、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,硕士,11318,18708
2022-09-15,技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉技术支持、客户沟通、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,博士,21234,35222
2022-09-15,架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉微服务、性能优化、系统架构等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,大专,6206,12288
2022-09-16,全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Node.js、React、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,大专,5759,10839
2022-09-16,销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉客户关系、销售、商务谈判等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,硕士,6278,12656
2022-09-16,UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Sketch、交互设计、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,深圳,1000人以上,硕士,9436,15441
2022-09-16,运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉监控、K8s、运维等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,大专,7217,11925
2022-09-17,产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉产品设计、Axure、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,本科,11535,20061
2022-09-18,销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉客户关系、商务谈判、销售等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,硕士,15442,25545
2022-09-18,数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉Tableau、统计学、Excel等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,本科,13416,20772
2022-09-18,架构师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉技术选型、性能优化、系统架构等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,本科,10568,19860
2022-09-19,测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉测试、缺陷管理、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,本科,11515,20807
2022-09-19,人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉员工关系、绩效考核、培训等相关技术，具备良好的沟通能力和团队协作精神。,深圳,1000人以上,大专,8617,13897
2022-09-19,数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉统计学、Excel、Tableau等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,硕士,12691,20080
2022-09-20,销售代表,分析市场趋势和竞争对手，制定市场策略。要求熟悉销售、业绩目标、客户关系等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,大专,8160,13735
2022-09-20,人力资源专员,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉培训、员工关系、招聘等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,本科,7600,12407
2022-09-21,项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉进度控制、团队协调、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,大专,8722,16980
2022-09-21,技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉客户沟通、技术支持、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,大专,8170,12878
2022-09-22,财务分析师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉财务报表、预算编制、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,博士,30205,48324
2022-09-22,Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Java、SpringBoot、Dubbo等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,本科,9527,16109
2022-09-22,前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉HTML、CSS、React等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,硕士,12156,20410
2022-09-24,运维工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Linux、K8s、Docker等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,本科,9401,17091
2022-09-25,数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉Python、PyTorch、TensorFlow等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,博士,44658,71742
2022-09-25,UI设计师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉交互设计、UI设计、Figma等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,本科,10066,17149
2022-09-26,测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉性能测试、缺陷管理、自动化测试等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,本科,9115,16084
2022-09-27,产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉Axure、需求分析、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,硕士,22687,40257
2022-09-27,运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉活动策划、用户增长、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,大专,5843,10101
2022-09-27,财务分析师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉预算编制、财务分析、Excel等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,博士,13091,23861
2022-09-27,架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉系统架构、微服务、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,本科,12998,21902
2022-09-28,人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉绩效考核、招聘、培训等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,大专,5352,8643
2022-09-28,项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉项目管理、风险控制、团队协调等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,博士,20405,35210
2022-09-28,运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉K8s、监控、Linux等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,本科,8461,14445
2022-10-01,Python开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Python、MySQL、Flask等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,硕士,10710,18553
2022-10-01,前端开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉TypeScript、React、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,大专,8157,13200
2022-10-02,Java后端开发,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉SpringBoot、MySQL、Redis等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,大专,10015,17858
2022-10-02,架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉技术选型、性能优化、微服务等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,硕士,11361,18998
2022-10-02,技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉文档编写、问题排查、客户沟通等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,大专,9267,17761
2022-10-03,Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Flask、Django、Python等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,博士,19118,36086
2022-10-03,技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉问题排查、技术支持、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,博士,5793,10178
2022-10-03,数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉TensorFlow、深度学习、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,博士,37709,60667
2022-10-03,机器学习工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉机器学习、模型调优、特征工程等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,博士,17640,33760
2022-10-03,数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉Tableau、Excel、Python等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,大专,12805,20436
2022-10-03,前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉TypeScript、CSS、HTML等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,大专,6278,10637
2022-10-03,前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉React、HTML、CSS等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,本科,8769,15360
2022-10-04,数据科学家,构建机器学习模型，解决实际业务问题。要求熟悉Python、深度学习、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,硕士,34175,54469
2022-10-05,测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉测试、自动化测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,大专,7051,12782
2022-10-05,Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Java、Redis、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,博士,20352,36777
2022-10-06,数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Tableau、Python、SQL等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,大专,14955,23281
2022-10-07,产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉数据分析、产品设计、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,本科,15796,28239
2022-10-07,项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉进度控制、项目管理、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,大专,15539,24769
2022-10-07,数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉机器学习、PyTorch、Python等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,本科,19624,34401
2022-10-08,UI设计师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉UI设计、用户体验、交互设计等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,硕士,14652,23616
2022-10-08,财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Excel、预算编制、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,博士,27201,44576
2022-10-08,数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉统计学、Tableau、Excel等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,硕士,22953,33369
2022-10-08,运营专员,分析运营数据，优化运营策略和流程。要求熟悉数据分析、运营、用户增长等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,大专,5883,10219
2022-10-09,测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉测试、自动化测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,博士,19747,33593
2022-10-09,架构师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉系统架构、微服务、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,大专,5000,8981
2022-10-10,运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉活动策划、运营、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,博士,10150,16759
2022-10-10,技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉问题排查、客户沟通、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,本科,8582,16048
2022-10-11,运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉用户增长、数据分析、运营等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,硕士,9061,15262
2022-10-12,Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Redis、Flask、Django等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,硕士,11782,20409
2022-10-12,前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉CSS、TypeScript、React等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,本科,11842,19806
2022-10-12,前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Vue、CSS、HTML等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,大专,11679,19015
2022-10-12,全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉React、JavaScript、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,大专,11225,17741
2022-10-12,Python开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉MySQL、Django、Redis等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,大专,9827,19238
2022-10-13,数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉SQL、Tableau、统计学等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,硕士,17213,27134
2022-10-13,销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉销售、客户关系、商务谈判等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,本科,11488,19369
2022-10-14,算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉深度学习、机器学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,博士,11663,20894
2022-10-14,测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉缺陷管理、自动化测试、测试等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,博士,12859,23474
2022-10-16,前端开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Vue、CSS、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,博士,17666,29612
2022-10-16,UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉UI设计、交互设计、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,博士,22747,36851
2022-10-17,运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉用户增长、活动策划、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,硕士,10375,18126
2022-10-18,算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉数据结构、Python、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,大专,10040,17582
2022-10-18,测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉性能测试、缺陷管理、自动化测试等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,本科,11434,18900
2022-10-18,全栈开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉JavaScript、MySQL、React等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,博士,8156,14129
2022-10-18,全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉MySQL、Node.js、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,大专,6020,10122
2022-10-18,市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉活动策划、市场营销、渠道拓展等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,本科,23347,38901
2022-10-20,运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Linux、Docker、K8s等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,大专,9194,15709
2022-10-20,项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉项目管理、进度控制、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,硕士,23100,38629
2022-10-22,财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉财务分析、财务报表、Excel等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,本科,18705,28132
2022-10-22,UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉用户体验、Figma、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,硕士,21070,33148
2022-10-25,产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉用户研究、Axure、产品设计等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,本科,13672,24249
2022-10-25,UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉UI设计、用户体验、Figma等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,硕士,13288,21030
2022-10-26,数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉PyTorch、机器学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,大专,17814,30710
2022-10-26,销售代表,分析市场趋势和竞争对手，制定市场策略。要求熟悉客户关系、销售、商务谈判等相关技术，具备良好的沟通能力和团队协作精神。,成都,50-150人,硕士,12523,20905
2022-10-27,数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉TensorFlow、Python、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,硕士,37835,62099
2022-10-27,数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉SQL、Python、统计学等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,本科,13144,20195
2022-10-28,全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉MongoDB、React、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,大专,8072,13864
2022-10-28,全栈开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉MongoDB、JavaScript、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,博士,34327,55177
2022-10-28,技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉文档编写、客户沟通、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,大专,7475,12784
2022-10-28,Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Django、Flask、FastAPI等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,大专,5725,10552
2022-10-28,测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉自动化测试、性能测试、测试等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,大专,8367,14931
2022-10-28,Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Redis、FastAPI、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,硕士,13625,26174
2022-10-29,测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉测试、缺陷管理、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,博士,18773,35280
2022-10-29,UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Figma、交互设计、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,本科,8831,14348
2022-10-29,运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Docker、K8s、监控等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,大专,11176,18899
2022-10-30,前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉TypeScript、CSS、React等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,本科,9037,15839
2022-10-30,全栈开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉React、JavaScript、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,硕士,14376,23689
2022-10-31,数据科学家,构建机器学习模型，解决实际业务问题。要求熟悉深度学习、TensorFlow、Python等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,博士,45725,76674
2022-10-31,UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉用户体验、UI设计、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,博士,22372,35200
2022-11-01,人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉培训、招聘、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,硕士,7906,12949
2022-11-02,项目经理,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉团队协调、进度控制、项目管理等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,大专,12708,20825
2022-11-03,销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉销售、商务谈判、客户关系等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,本科,10703,18869
2022-11-03,算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉算法、Python、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,本科,10438,18470
2022-11-04,架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉技术选型、性能优化、微服务等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,硕士,10749,18743
2022-11-04,Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉FastAPI、Flask、Redis等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,本科,12557,21050
2022-11-04,运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉K8s、Linux、监控等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,大专,8088,13991
2022-11-05,技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉文档编写、客户沟通、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,博士,20150,33432
2022-11-05,全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉JavaScript、React、MongoDB等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,本科,11520,20359
2022-11-05,架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉微服务、系统架构、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,硕士,9568,17162
2022-11-06,机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉机器学习、Python、特征工程等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,博士,13478,25965
2022-11-07,数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉Excel、统计学、SQL等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,博士,23097,35189
2022-11-08,UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Sketch、用户体验、Figma等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,大专,7962,12664
2022-11-09,产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉用户研究、数据分析、Axure等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,大专,15383,25529
2022-11-09,项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉风险控制、项目管理、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,博士,15205,31372
2022-11-10,人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉培训、员工关系、招聘等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,大专,8767,13763
2022-11-11,Java后端开发,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Spring、MySQL、Java等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,博士,17189,30470
2022-11-11,运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉用户增长、数据分析、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,大专,6378,10577
2022-11-11,数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉机器学习、PyTorch、Python等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,大专,17155,27301
2022-11-11,UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉用户体验、Figma、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,硕士,17295,26807
2022-11-13,算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、机器学习、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,博士,15179,27665
